review_id,package,version,file,class,analyzer_label,short_reason,code_excerpt,suspected_pattern,manual_label_blank,reviewer_note_blank
EXP-0011,mpmath,1.4.1,mpmath-1.4.1\mpmath\ctx_iv.py,ivmpf_constant,MEDIUM,method __new__() (line 294): mutates self.{_f} and returns a value derived from self state,"289: ivmpf.__pow__, ivmpf.__rpow__, ivmpc.__pow__, ivmpc.__rpow__ = _binary_op(mpi_pow, mpci_pow)
290:
291: ivmpf.__truediv__, ivmpf.__rtruediv__, ivmpc.__truediv__, ivmpc.__rtruediv__ = _binary_op(mpi_div, mpci_div)
292:
293: class ivmpf_constant(ivmpf):
294:     def __new__(cls, f):
295:         self = new(cls)
296:         self._f = f
297:         return self",state_mutating_reader,,
EXP-0012,pycparser,3.0,pycparser-3.0\pycparser\c_ast.py,NodeVisitor,MEDIUM,method visit() (line 178): mutates self.{_method_cache} and returns a value derived from self state,"138:                 _my_node_name=child_name,
139:             )
140:
141:
142: class NodeVisitor:
143:     """"""A base NodeVisitor class for visiting c_ast nodes.
144:     Subclass it and define your own visit_XXX methods, where
145:     XXX is the class name you want to visit with these
146:     methods.",cache_or_memoization,,
EXP-0013,networkx,3.6.1,networkx-3.6.1\networkx\generators\internet_as_graphs.py,AS_graph_generator,MEDIUM,method t_graph() (line 116): mutates self.{G} and returns a value derived from self state,"68:         acc += degs[nodes[i]]
69:     return nodes[i]
70:
71:
72: class AS_graph_generator:
73:     """"""Generates random internet AS graphs.""""""
74:
75:     @py_random_state(""seed"")
76:     def __init__(self, n, seed):",state_mutating_reader,,
EXP-0014,ipython,9.15.0,ipython-9.15.0\IPython\terminal\shortcuts\auto_suggest.py,NavigableAutoSuggestFromHistory,MEDIUM,method _llm_provider() (line 325): mutates self.{_llm_provider_instance} and returns a value derived from self state,"156:             shift = ti.lineno - len(suggestions) + 1
157:             return Transformation(ti.get_line(shift))
158:
159:
160: class NavigableAutoSuggestFromHistory(AutoSuggestFromHistory):
161:     """"""
162:     A subclass of AutoSuggestFromHistory that allow navigation to next/previous
163:     suggestion from history. To do so it remembers the current position, but it
164:     state need to carefully be cleared on the right events.",state_mutating_reader,,
EXP-0015,sympy,1.14.0,sympy-1.14.0\sympy\utilities\enumerative.py,MultisetPartitionTraverser,MEDIUM,"method decrement_part_small() (line 515): mutates self.{k1,k2,p1} and returns a value derived from self state","364:
365:     return partition
366:
367:
368: class MultisetPartitionTraverser():
369:     """"""
370:     Has methods to ``enumerate`` and ``count`` the partitions of a multiset.
371:
372:     This implements a refactored and extended version of Knuth's algorithm",state_mutating_reader,,
EXP-0016,black,26.5.1,black-26.5.1\src\blib2to3\pgen2\parse.py,Parser,MEDIUM,method _addtoken() (line 274): mutates self.{last_token} and returns a value derived from self state,"126:         self.value = value
127:         self.context = context
128:
129:
130: class Parser:
131:     """"""Parser engine.
132:
133:     The proper usage sequence is:
134:",state_mutating_reader,,
EXP-0017,sympy,1.14.0,sympy-1.14.0\sympy\solvers\ode\single.py,NthLinearEulerEqNonhomogeneousUndeterminedCoefficients,MEDIUM,method _matches() (line 2621): mutates self.{r} and returns a value derived from self state,"2568:
2569:         return [Eq(f(x), homogen_sol.rhs + (sol.rhs - homogen_sol.rhs)*self.r[order])]
2570:
2571:
2572: class NthLinearEulerEqNonhomogeneousUndeterminedCoefficients(SingleODESolver):
2573:     r""""""
2574:     Solves an `n`\th order linear non homogeneous Cauchy-Euler equidimensional
2575:     ordinary differential equation using undetermined coefficients.
2576:",state_mutating_reader,,
EXP-0018,virtualenv,21.5.1,virtualenv-21.5.1\src\virtualenv\seed\embed\via_app_data\pip_install\base.py,PipInstall,MEDIUM,method _dist_info() (line 132): mutates self.{__dist_info} and returns a value derived from self state,"40:             raise RuntimeError(msg) from exc
41:     zip_ref.extractall(str(target_dir))
42:
43:
44: class PipInstall(ABC):
45:     def __init__(self, wheel: Path, creator: Creator, image_folder: Path) -> None:
46:         self._wheel = wheel
47:         self._creator = creator
48:         self._image_dir = image_folder",state_mutating_reader,,
EXP-0019,sympy,1.14.0,sympy-1.14.0\sympy\solvers\ode\single.py,NthLinearConstantCoeffUndeterminedCoefficients,MEDIUM,"method _matches() (line 2354): mutates self.{r,trialset} and returns a value derived from self state","2290:             homogen_sol = _get_simplified_sol([homogen_sol], f(x), collectterms)
2291:         return [homogen_sol]
2292:
2293:
2294: class NthLinearConstantCoeffUndeterminedCoefficients(SingleODESolver):
2295:     r""""""
2296:     Solves an `n`\th order linear differential equation with constant
2297:     coefficients using the method of undetermined coefficients.
2298:",state_mutating_reader,,
EXP-0020,httpcore,1.0.9,httpcore-1.0.9\httpcore\_sync\http11.py,HTTP11Connection,MEDIUM,"method handle_request() (line 65): mutates self.{_expire_at,_request_count,_state} and returns a value derived from self state","39:     IDLE = 2
40:     CLOSED = 3
41:
42:
43: class HTTP11Connection(ConnectionInterface):
44:     READ_NUM_BYTES = 64 * 1024
45:     MAX_INCOMPLETE_EVENT_SIZE = 100 * 1024
46:
47:     def __init__(",state_mutating_reader,,
EXP-0021,sympy,1.14.0,sympy-1.14.0\sympy\plotting\series.py,Parametric3DLineSeries,MEDIUM,"method get_data() (line 1789): mutates self.{_xlim,_ylim,_zlim} and returns a value derived from self state","1751:     def __init__(self):
1752:         super().__init__()
1753:
1754:
1755: class Parametric3DLineSeries(ParametricLineBaseSeries):
1756:     """"""Representation for a 3D line consisting of three parametric SymPy
1757:     expressions and a range.""""""
1758:
1759:     is_2Dline = False",state_mutating_reader,,
EXP-0022,networkx,3.6.1,networkx-3.6.1\networkx\algorithms\planarity.py,LRPlanarity,MEDIUM,"method lr_planarity() (line 323): mutates self.{DG,G,S,adjs,height,left_ref,lowpt,lowpt2,lowpt_edge,nesting_depth,ordered_adjs,parent_edge,ref,right_ref,roots,side,stack_bottom} and returns a value derived from self state","255:         return None
256:     return l[-1]
257:
258:
259: class LRPlanarity:
260:     """"""A class to maintain the state during planarity check.""""""
261:
262:     __slots__ = [
263:         ""G"",",state_mutating_reader,,
EXP-0023,rich,15.0.0,rich-15.0.0\rich\markdown.py,TableElement,MEDIUM,"method on_child_close() (line 238): mutates self.{body,header} and returns a value derived from self state","227:         yield Rule(style=style, characters=""-"")
228:         yield Text()
229:
230:
231: class TableElement(MarkdownElement):
232:     """"""MarkdownElement corresponding to `table_open`.""""""
233:
234:     def __init__(self) -> None:
235:         self.header: TableHeaderElement | None = None",state_mutating_reader,,
EXP-0024,hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\internal\conjecture\shrinker.py,Shrinker,MEDIUM,method shrink() (line 437): mutates self.{should_explain} and returns a value derived from self state,"143: class StopShrinking(Exception):
144:     pass
145:
146:
147: class Shrinker:
148:     """"""A shrinker is a child object of a ConjectureRunner which is designed to
149:     manage the associated state of a particular shrink problem. That is, we
150:     have some initial ConjectureData object and some property of interest
151:     that it satisfies, and we want to find a ConjectureData object with a",state_mutating_reader,,
EXP-0025,virtualenv,21.5.1,virtualenv-21.5.1\src\virtualenv\create\via_global_ref\_virtualenv.py,_Finder,MEDIUM,method find_spec() (line 58): mutates self.{fullname} and returns a value derived from self state,"44: _DISTUTILS_PATCH = ""distutils.dist"", ""setuptools.dist""
45: # https://docs.python.org/3/library/importlib.html#setting-up-an-importer
46:
47:
48: class _Finder:
49:     """"""A meta path finder that allows patching the imported distutils modules.""""""
50:
51:     fullname = None
52:",state_mutating_reader,,
EXP-0026,rich,15.0.0,rich-15.0.0\rich\console.py,Console,MEDIUM,method set_alt_screen() (line 1201): mutates self.{_is_alt_screen} and returns a value derived from self state,"577:     """"""Detect legacy Windows.""""""
578:     return WINDOWS and not get_windows_console_features().vt
579:
580:
581: class Console:
582:     """"""A high level console interface.
583:
584:     Args:
585:         color_system (str, optional): The color system supported by your terminal,",state_mutating_reader,,
EXP-0027,ipython,9.15.0,ipython-9.15.0\IPython\core\display.py,ProgressBar,MEDIUM,method __iter__() (line 568): mutates self.{_progress} and returns a value derived from self state,"519:
520:     def _repr_svg_(self):
521:         return self._data_and_metadata()
522:
523: class ProgressBar(DisplayObject):
524:     """"""Progressbar supports displaying a progressbar like element
525:     """"""
526:     def __init__(self, total):
527:         """"""Creates a new progressbar",state_mutating_reader,,
EXP-0028,ipython,9.15.0,ipython-9.15.0\IPython\terminal\debugger.py,TerminalPdb,MEDIUM,"method pt_init() (line 34): mutates self.{_ptcomp,debugger_history,pt_app,pt_loop} and returns a value derived from self state","21: # as it uses cursor positioning requests, deletes color ....
22: _use_simple_prompt = ""IPY_TEST_SIMPLE_PROMPT"" in os.environ
23:
24:
25: class TerminalPdb(Pdb):
26:     """"""Standalone IPython debugger.""""""
27:
28:     def __init__(self, *args, pt_session_options=None, **kwargs):
29:         Pdb.__init__(self, *args, **kwargs)",state_mutating_reader,,
EXP-0029,sympy,1.14.0,sympy-1.14.0\sympy\combinatorics\perm_groups.py,PermutationGroup,MEDIUM,method center() (line 932): mutates self.{_center} and returns a value derived from self state,"22: rmul = Permutation.rmul_with_af
23: _af_new = Permutation._af_new
24:
25:
26: class PermutationGroup(Basic):
27:     r""""""The class defining a Permutation group.
28:
29:     Explanation
30:     ===========",state_mutating_reader,,
EXP-0030,PyYAML,6.0.3,yaml\parser.py,Parser,MEDIUM,method check_event() (line 94): mutates self.{current_event} and returns a value derived from self state,"68:
69: class ParserError(MarkedYAMLError):
70:     pass
71:
72: class Parser:
73:     # Since writing a recursive-descendant parser is a straightforward task, we
74:     # do not give many comments here.
75:
76:     DEFAULT_TAGS = {",state_mutating_reader,,
EXP-0031,jedi,0.20.0,jedi-0.20.0\jedi\api\environment.py,_BaseEnvironment,MEDIUM,method _sha256() (line 48): mutates self.{_hash} and returns a value derived from self state,"34:     been trying to use is probably not a correct Python version.
35:     """"""
36:
37:
38: class _BaseEnvironment:
39:     version_info: Any
40:     executable: Any
41:
42:     @memoize_method",state_mutating_reader,,
EXP-0032,hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\strategies\_internal\strategies.py,SampledFromStrategy,MEDIUM,method __repr__() (line 632): mutates self.{_cached_repr} and returns a value derived from self state,"576: def is_hashable(value: object) -> bool:
577:     return _is_hashable(value)[0]
578:
579:
580: class SampledFromStrategy(SearchStrategy[Ex]):
581:     """"""A strategy which samples from a set of elements. This is essentially
582:     equivalent to using a OneOfStrategy over Just strategies but may be more
583:     efficient and convenient.
584:     """"""",cache_or_memoization,,
EXP-0033,httpx,0.28.1,httpx-0.28.1\httpx\_decoders.py,BrotliDecoder,MEDIUM,method decode() (line 136): mutates self.{seen_data} and returns a value derived from self state,"104:         except zlib.error as exc:  # pragma: no cover
105:             raise DecodingError(str(exc)) from exc
106:
107:
108: class BrotliDecoder(ContentDecoder):
109:     """"""
110:     Handle 'brotli' decoding.
111:
112:     Requires `pip install brotlipy`. See: https://brotlipy.readthedocs.io/",state_mutating_reader,,
EXP-0034,sympy,1.14.0,sympy-1.14.0\sympy\solvers\ode\single.py,NthLinearConstantCoeffHomogeneous,MEDIUM,method _matches() (line 2165): mutates self.{r} and returns a value derived from self state,"2094:
2095:         return [sol]
2096:
2097:
2098: class NthLinearConstantCoeffHomogeneous(SingleODESolver):
2099:     r""""""
2100:     Solves an `n`\th order linear homogeneous differential equation with
2101:     constant coefficients.
2102:",state_mutating_reader,,
EXP-0035,httpcore,1.0.9,httpcore-1.0.9\httpcore\_sync\socks_proxy.py,Socks5Connection,MEDIUM,"method handle_request() (line 216): mutates self.{_connect_failed,_connection} and returns a value derived from self state","185:             network_backend=self._network_backend,
186:         )
187:
188:
189: class Socks5Connection(ConnectionInterface):
190:     def __init__(
191:         self,
192:         proxy_origin: Origin,
193:         remote_origin: Origin,",state_mutating_reader,,
EXP-0036,ipython,9.15.0,ipython-9.15.0\IPython\core\display_trap.py,DisplayTrap,MEDIUM,method __enter__() (line 48): mutates self.{_nested_level} and returns a value derived from self state,"28: # Classes and functions
29: #-----------------------------------------------------------------------------
30:
31:
32: class DisplayTrap(Configurable):
33:     """"""Object to manage sys.displayhook.
34:
35:     This came from IPython.core.kernel.display_hook, but is simplified
36:     (no callbacks or formatters) until more of the core is refactored.",context_manager_bookkeeping,,
EXP-0037,sympy,1.14.0,sympy-1.14.0\sympy\physics\mechanics\lagrange.py,LagrangesMethod,MEDIUM,"method form_lagranges_equations() (line 174): mutates self.{_f_cd,_f_d,_m_cd,_m_d,_term1,_term2,_term3,_term4,eom,lam_coeffs,lam_vec} and returns a value derived from self state","9:
10: __all__ = ['LagrangesMethod']
11:
12:
13: class LagrangesMethod(_Methods):
14:     """"""Lagrange's method object.
15:
16:     Explanation
17:     ===========",state_mutating_reader,,
EXP-0038,jedi,0.20.0,jedi-0.20.0\jedi\inference\compiled\subprocess\__init__.py,CompiledSubprocess,MEDIUM,"method _get_process() (line 256): mutates self.{_cleanup_callable,_stderr_queue,_stderr_thread} and returns a value derived from self state","222:         if self._used and not self._compiled_subprocess.is_crashed:
223:             self._compiled_subprocess.delete_inference_state(self._inference_state_id)
224:
225:
226: class CompiledSubprocess:
227:     """"""
228:     A subprocess which runs inference within a target environment.
229:
230:     This class manages the interface to a single instance of such a process as",state_mutating_reader,,
EXP-0039,prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\widgets\base.py,Box,MEDIUM,"method __init__() (line 629): mutates self.{body,container,padding,padding_bottom,padding_left,padding_right,padding_top} and returns a value derived from self state","606:     def __pt_container__(self) -> Container:
607:         return self.container
608:
609:
610: class Box:
611:     """"""
612:     Add padding around a container.
613:
614:     This also makes sure that the parent can provide more space than required by",state_mutating_reader,,
EXP-0040,cffi,2.0.0,cffi\backend_ctypes.py,CTypesArray,MEDIUM,method _from_ctypes() (line 689): mutates self.{_blob} and returns a value derived from self state,"604:             kind = 'byte'
605:         else:
606:             kind = 'generic'
607:         #
608:         class CTypesArray(CTypesGenericArray):
609:             __slots__ = ['_blob', '_own']
610:             if length is not None:
611:                 _ctype = BItem._ctype * length
612:             else:",state_mutating_reader,,
EXP-0041,coverage,7.15.0,coverage-7.15.0\coverage\cmdline.py,CoverageScript,MEDIUM,"method command_line() (line 793): mutates self.{coverage,global_option} and returns a value derived from self state","782:
783: OK, ERR, FAIL_UNDER = 0, 1, 2
784:
785:
786: class CoverageScript:
787:     """"""The command-line interface to coverage.py.""""""
788:
789:     def __init__(self) -> None:
790:         self.global_option = False",state_mutating_reader,,
EXP-0042,pydantic,2.13.4,pydantic-2.13.4\pydantic\v1\error_wrappers.py,ValidationError,MEDIUM,method errors() (line 58): mutates self.{_error_cache} and returns a value derived from self state,"46: # but recursive, therefore just use:
47: ErrorList = Union[Sequence[Any], ErrorWrapper]
48:
49:
50: class ValidationError(Representation, ValueError):
51:     __slots__ = 'raw_errors', 'model', '_error_cache'
52:
53:     def __init__(self, errors: Sequence[ErrorList], model: 'ModelOrDc') -> None:
54:         self.raw_errors = errors",cache_or_memoization,,
EXP-0043,prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\contrib\regular_languages\compiler.py,_CompiledGrammar,MEDIUM,"method __init__() (line 81): mutates self.{_re,_re_pattern,_re_prefix,_re_prefix_patterns,_re_prefix_with_trailing_input,escape_funcs,root_node,unescape_funcs} and returns a value derived from self state","67:
68: EscapeFuncDict = Dict[str, Callable[[str], str]]
69:
70:
71: class _CompiledGrammar:
72:     """"""
73:     Compiles a grammar. This will take the parse tree of a regular expression
74:     and compile the grammar.
75:",state_mutating_reader,,
EXP-0044,prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\input\win32.py,Vt100ConsoleInputReader,MEDIUM,method read() (line 610): mutates self.{_buffer} and returns a value derived from self state,"571:         )
572:         return [KeyPress(Keys.WindowsMouseEvent, data)]
573:
574:
575: class Vt100ConsoleInputReader:
576:     """"""
577:     Similar to `ConsoleInputReader`, but for usage when
578:     `ENABLE_VIRTUAL_TERMINAL_INPUT` is enabled. This assumes that Windows sends
579:     us the right vt100 escape sequences and we parse those with our vt100",state_mutating_reader,,
EXP-0045,prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\widgets\base.py,Button,MEDIUM,"method __init__() (line 397): mutates self.{control,handler,left_symbol,right_symbol,text,width,window} and returns a value derived from self state","382:     def __pt_container__(self) -> Container:
383:         return self.window
384:
385:
386: class Button:
387:     """"""
388:     Clickable button.
389:
390:     :param text: The caption for the button.",state_mutating_reader,,
EXP-0046,ipython,9.15.0,ipython-9.15.0\IPython\core\magic.py,MagicAlias,MEDIUM,method __call__() (line 808): mutates self.{_in_call} and returns a value derived from self state,"776:                 args = "" "".join(args)  # type: ignore[assignment]
777:
778:         return opts, args
779:
780: class MagicAlias:
781:     """"""An alias to another magic function.
782:
783:     An alias is determined by its magic name and magic kind. Lookup
784:     is done at call time, so if the underlying magic changes the alias",state_mutating_reader,,
EXP-0047,rich,15.0.0,rich-15.0.0\rich\console.py,Group,MEDIUM,method renderables() (line 464): mutates self.{_render} and returns a value derived from self state,"446:             if self.hide_cursor:
447:                 self.console.show_cursor(True)
448:
449:
450: class Group:
451:     """"""Takes a group of renderables and returns a renderable object that renders the group.
452:
453:     Args:
454:         renderables (Iterable[RenderableType]): An iterable of renderable objects.",state_mutating_reader,,
EXP-0048,sympy,1.14.0,sympy-1.14.0\sympy\plotting\series.py,ImplicitSeries,MEDIUM,method _adaptive_eval() (line 2327): mutates self.{adaptive} and returns a value derived from self state,"2176:     def get_data(self):
2177:         return self.args
2178:
2179:
2180: class ImplicitSeries(BaseSeries):
2181:     """"""Representation for 2D Implicit plot.""""""
2182:
2183:     is_implicit = True
2184:     use_cm = False",state_mutating_reader,,
EXP-0049,networkx,3.6.1,networkx-3.6.1\networkx\algorithms\connectivity\edge_kcomponents.py,EdgeComponentAuxGraph,MEDIUM,"method construct() (line 316): mutates self.{A,H} and returns a value derived from self state","238:     H.remove_edges_from(nx.bridges(G))
239:     yield from nx.connected_components(H)
240:
241:
242: class EdgeComponentAuxGraph:
243:     r""""""A simple algorithm to find all k-edge-connected components in a graph.
244:
245:     Constructing the auxiliary graph (which may take some time) allows for the
246:     k-edge-ccs to be found in linear time for arbitrary k.",state_mutating_reader,,
EXP-0050,pycparser,3.0,pycparser-3.0\pycparser\c_lexer.py,CLexer,MEDIUM,"method token() (line 76): mutates self.{_line_start,_lineno,_pending_tok,_pos} and returns a value derived from self state","19:     lineno: int
20:     column: int
21:
22:
23: class CLexer:
24:     """"""A standalone lexer for C.
25:
26:     Parameters for construction:
27:         error_func:",state_mutating_reader,,
EXP-0051,sympy,1.14.0,sympy-1.14.0\sympy\polys\rootisolation.py,RealInterval,MEDIUM,method b() (line 1786): mutates self.{neg} and returns a value derived from self state,"1724:         return real_part, complex_part
1725:     else:
1726:         raise NotImplementedError( ""only trivial square-free polynomials are supported"")
1727:
1728: class RealInterval:
1729:     """"""A fully qualified representation of a real isolation interval. """"""
1730:
1731:     def __init__(self, data, f, dom):
1732:         """"""Initialize new real interval with complete information. """"""",state_mutating_reader,,
EXP-0052,pytest,9.1.1,pytest-9.1.1\src\_pytest\assertion\rewrite.py,AssertionRewritingHook,MEDIUM,method _early_rewrite_bailout() (line 190): mutates self.{_session_paths_checked} and returns a value derived from self state,"72: # Special marker that denotes we have just left a scope definition
73: _SCOPE_END_MARKER = Sentinel()
74:
75:
76: class AssertionRewritingHook(importlib.abc.MetaPathFinder, importlib.abc.Loader):
77:     """"""PEP302/PEP451 import hook which rewrites asserts.""""""
78:
79:     def __init__(self, config: Config) -> None:
80:         self.config = config",state_mutating_reader,,
EXP-0053,lxml,6.1.1,lxml\html\_difflib.py,SequenceMatcher,MEDIUM,method get_matching_blocks() (line 438): mutates self.{matching_blocks} and returns a value derived from self state,"59:     if length:
60:         return 2.0 * matches / length
61:     return 1.0
62:
63: class SequenceMatcher:
64:
65:     """"""
66:     SequenceMatcher is a flexible class for comparing pairs of sequences of
67:     any type, so long as the sequence elements are hashable.  The basic",state_mutating_reader,,
EXP-0054,hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\internal\conjecture\data.py,Spans,MEDIUM,method children() (line 484): mutates self.{__children} and returns a value derived from self state,"428:         # do anything useful with them.
429:         return [g for g in self.groups.values() if len(g) >= 2]
430:
431:
432: class Spans:
433:     """"""A lazy collection of ``Span`` objects, derived from
434:     the record of recorded behaviour in ``SpanRecord``.
435:
436:     Behaves logically as if it were a list of ``Span`` objects,",state_mutating_reader,,
EXP-0055,rich,15.0.0,rich-15.0.0\rich\table.py,Table,MEDIUM,method padding() (line 359): mutates self.{_padding} and returns a value derived from self state,"149:     vertical: VerticalAlignMethod
150:     """"""Cell vertical alignment.""""""
151:
152:
153: class Table(JupyterMixin):
154:     """"""A console renderable to draw a table.
155:
156:     Args:
157:         *headers (Union[Column, str]): Column headers, either as a string, or :class:`~rich.table.Column` instance.",state_mutating_reader,,
EXP-0056,sympy,1.14.0,sympy-1.14.0\sympy\combinatorics\permutations.py,Permutation,MEDIUM,method cyclic_form() (line 1126): mutates self.{_cyclic_form} and returns a value derived from self state,"469:     def copy(self):
470:         return Cycle(self)
471:
472:
473: class Permutation(Atom):
474:     r""""""
475:     A permutation, alternatively known as an 'arrangement number' or 'ordering'
476:     is an arrangement of the elements of an ordered list into a one-to-one
477:     mapping with itself. The permutation of a given arrangement is given by",state_mutating_reader,,
EXP-0057,sympy,1.14.0,sympy-1.14.0\sympy\solvers\ode\single.py,NthLinearEulerEqHomogeneous,MEDIUM,method _matches() (line 2457): mutates self.{r} and returns a value derived from self state,"2383:             gsol = _get_simplified_sol([gsol], f(x), collectterms)
2384:         return [gsol]
2385:
2386:
2387: class NthLinearEulerEqHomogeneous(SingleODESolver):
2388:     r""""""
2389:     Solves an `n`\th order linear homogeneous variable-coefficient
2390:     Cauchy-Euler equidimensional ordinary differential equation.
2391:",state_mutating_reader,,
EXP-0058,tox,4.56.1,tox-4.56.1\src\tox\tox_env\python\pip\req\file.py,RequirementsFile,MEDIUM,method _parser() (line 229): mutates self.{_parser_private} and returns a value derived from self state,"190:         else:
191:             self.is_requirement = False
192:
193:
194: class RequirementsFile:
195:     def __init__(self, path: Path, constraint: bool) -> None:  # noqa: FBT001
196:         self._path = path
197:         self._is_constraint: bool = constraint
198:         self._opt = Namespace()",state_mutating_reader,,
EXP-0059,hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\internal\conjecture\pareto.py,ParetoFront,MEDIUM,method add() (line 149): mutates self.{__pending} and returns a value derived from self state,"100:
101:     return DominanceRelation.LEFT_DOMINATES
102:
103:
104: class ParetoFront:
105:     """"""Maintains an approximate pareto front of ConjectureData objects. That
106:     is, we try to maintain a collection of objects such that no element of the
107:     collection is pareto dominated by any other. In practice we don't quite
108:     manage that, because doing so is computationally very expensive. Instead",state_mutating_reader,,
EXP-0060,mpmath,1.4.1,mpmath-1.4.1\mpmath\calculus\extrapolation.py,cohen_alt_class,MEDIUM,method update() (line 808): mutates self.{last} and returns a value derived from self state,"712: levin.__doc__ = levin_class.__doc__
713: defun(levin)
714:
715:
716: class cohen_alt_class:
717:     # cohen_alt: Copyright 2013 Timo Hartmann (thartmann15 at gmail.com)
718:     r""""""
719:     This interface implements the convergence acceleration of alternating series
720:     as described in H. Cohen, F.R. Villegas, D. Zagier - ""Convergence Acceleration",state_mutating_reader,,
