15,boltons,25.0.0,boltons-25.0.0\boltons\ioutils.py,SpooledStringIO,367,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\boltons-25.0.0\boltons\ioutils.py,simple,source_file_available,read,_tell,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
16,cerberus,1.3.8,cerberus-1.3.8\cerberus\validator.py,BareValidator,59,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\cerberus-1.3.8\cerberus\validator.py,simple,source_file_available,__normalize_mapping,_is_normalized,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
17,click-option-group,0.5.9,click_option_group-0.5.9\src\click_option_group\_decorators.py,_OptGroup,44,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\click-option-group-0.5.9\click_option_group\_decorators.py,simple,source_file_available,__call__,_outer_frame_index,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
18,dnspython,2.8.0,dnspython-2.8.0\dns\btree.py,BTree,613,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dnspython-2.8.0\dns\btree.py,simple,source_file_available,insert_element,"root,size",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
19,dnspython,2.8.0,dnspython-2.8.0\dns\entropy.py,EntropyPool,26,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dnspython-2.8.0\dns\entropy.py,simple,source_file_available,random_8,"digest,next_byte",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
20,dnspython,2.8.0,dnspython-2.8.0\dns\message.py,Message,143,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dnspython-2.8.0\dns\message.py,simple,source_file_available,to_wire,"tsig_ctx,wire",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
21,dnspython,2.8.0,dnspython-2.8.0\dns\quic\_common.py,Buffer,30,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dnspython-2.8.0\dns\quic\_common.py,simple,source_file_available,get,_buffer,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
22,dnspython,2.8.0,dnspython-2.8.0\dns\tokenizer.py,Tokenizer,198,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\dnspython-2.8.0\dns\tokenizer.py,simple,source_file_available,_get_char,"eof,line_number,ungotten_char",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
23,docutils,0.22.4,docutils-0.22.4\docutils\core.py,Publisher,37,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\core.py,simple,source_file_available,get_settings,settings,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
24,docutils,0.22.4,docutils-0.22.4\docutils\frontend.py,OptionParser,646,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\frontend.py,simple,source_file_available,get_config_file_settings,config_files,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
25,docutils,0.22.4,docutils-0.22.4\docutils\io.py,Input,78,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\io.py,simple,source_file_available,decode,successful_encoding,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
26,docutils,0.22.4,docutils-0.22.4\docutils\io.py,StringOutput,648,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\io.py,simple,source_file_available,write,destination,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
27,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\directives\body.py,LineBlock,99,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\directives\body.py,simple,source_file_available,run,content_offset,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
28,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\directives\misc.py,Include,42,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\directives\misc.py,simple,source_file_available,run,"clip_options,settings,tab_width",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
29,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\directives\misc.py,MetaBody,571,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\directives\misc.py,simple,source_file_available,field_marker,parent,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
30,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Body,1181,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,indent,parent,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
31,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,BulletList,2657,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,bullet,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
32,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Definition,3048,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,indent,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
33,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,EnumeratedList,2681,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,enumerator,"auto,blank_finish,lastordinal,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
34,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Explicit,2785,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,explicit_markup,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
35,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,FieldList,2705,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,field_marker,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
36,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Inliner,571,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,parse,"document,language,parent,reporter",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
37,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Line,3065,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,eof,parent,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
38,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,LineBlock,2769,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,line_block,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
39,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,OptionList,2717,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,option_marker,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
40,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,RFC2822Body,2567,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,rfc2822,parent,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
41,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,RFC2822List,2732,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,rfc2822,"blank_finish,parent",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
42,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Text,2832,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\parsers\rst\states.py,simple,source_file_available,blank,parent,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
43,docutils,0.22.4,docutils-0.22.4\docutils\readers\__init__.py,Reader,29,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\readers\__init__.py,simple,source_file_available,read,"input,parser,settings,source",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
44,docutils,0.22.4,docutils-0.22.4\docutils\statemachine.py,ViewList,1051,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\statemachine.py,simple,source_file_available,__iadd__,data,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
45,docutils,0.22.4,docutils-0.22.4\docutils\utils\math\mathml_elements.py,MathElement,60,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\utils\math\mathml_elements.py,simple,source_file_available,close,nchildren,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
46,docutils,0.22.4,docutils-0.22.4\docutils\utils\math\mathml_elements.py,MathSchema,250,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\utils\math\mathml_elements.py,simple,source_file_available,append,switch,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
47,docutils,0.22.4,docutils-0.22.4\docutils\writers\__init__.py,Writer,32,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\writers\__init__.py,simple,source_file_available,write,"destination,document,language",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
48,docutils,0.22.4,docutils-0.22.4\docutils\writers\pep_html\__init__.py,Writer,20,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\docutils-0.22.4\docutils\writers\pep_html\__init__.py,simple,source_file_available,interpolation_dict,"pepnum,title",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
49,h11,0.16.0,h11-0.16.0\h11\_readers.py,ChunkedReader,148,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\h11-0.16.0\h11\_readers.py,simple,source_file_available,__call__,"_bytes_in_chunk,_bytes_to_discard,_reading_trailer",repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
50,h11,0.16.0,h11-0.16.0\h11\_receivebuffer.py,ReceiveBuffer,47,likely true positive,MEDIUM,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle,10,<repo>\paper_artifacts\scp_realworld_revision\source_snapshot\h11-0.16.0\h11\_receivebuffer.py,simple,source_file_available,__iadd__,_data,repeat the same read-shaped operation and compare result/state,+4 likely true positive; +2 read/getter-like mutation; +2 later/cache/branch/composition hint; +1 simple constructor; +1 source import path available
