candidate_id,source_artifact,package_name,package_version,module_path,class_name,observation_operation,target_read_operation,state_fields_suspected,construction_hint,fixture_family,expected_boundary,priority,selected_for_harness
bs26_docutils_StringOutput,behavioral_sweep_results.csv,docutils,0.22.4,docutils/io.py,StringOutput,(excluded),write(),destination,write() has output side effects,unknown,unsafe to execute (output side effect),3,yes
bs20_dnspython_Message,behavioral_sweep_results.csv,dnspython,2.8.0,dns/message.py,Message,(n/a),(n/a),id,fresh instances not comparable,unknown,random id -> not order-comparable,3,yes
bs19_dnspython_EntropyPool,behavioral_sweep_results.csv,dnspython,2.8.0,dns/entropy.py,EntropyPool,(n/a),(n/a),pool,intentionally nondeterministic,unknown,randomness -> oracle N/A,3,yes
ext01_more_itertools_peekable,source_snapshot,more-itertools,11.0.2,more_itertools/more.py,peekable,peek(),next(it),_cache,"peekable(iter(['x','y','z']))",iterator,peek caches but next still consumes head,2,yes
ext02_boltons_SpooledBytesIO,source_snapshot,boltons,25.0.0,boltons/ioutils.py,SpooledBytesIO,read(3),read(3),buffer position,SpooledBytesIO()+write,io_bytes,byte cursor advances,2,yes
ext03_tomlkit_TOMLDocument,source_snapshot,tomlkit,0.15.0,tomlkit/container.py,TOMLDocument,doc['a'],dict(doc),_body,tomlkit.parse('a=1 b=2'),list_or_dict,"pure read, no divergence expected",3,yes
ext04_marshmallow_Schema,source_snapshot,marshmallow,4.3.0,marshmallow/schema.py,Schema,load({'name':'ok'}),dump({'name':'again'}),fields cache,Schema subclass with String field,list_or_dict,load/dump share no order-dependent state,3,yes
bs07_anyio_Runner,behavioral_sweep_results.csv,anyio,4.13.0,anyio/_backends/_asyncio.py,Runner,run,repr(class),_loop;_task,Runner() (may require args),unknown,event-loop runner; construction likely fails,3,yes
bs08_anyio_ContextManagerMixin,behavioral_sweep_results.csv,anyio,4.13.0,anyio/_core/_contextmanagers.py,ContextManagerMixin,__enter__,repr(class),_cm,abstract mixin,unknown,abstract mixin; construction likely fails,3,yes
bs10_beautifulsoup4_HTML5TreeBuilder,behavioral_sweep_results.csv,beautifulsoup4,4.14.3,bs4/builder/_html5lib.py,HTML5TreeBuilder,create_treebuilder,repr(class),soup,requires html5lib (not available),tree_or_html,html5lib missing -> import_failed,3,yes
bs21_dnspython_Buffer,behavioral_sweep_results.csv,dnspython,2.8.0,dns/quic/_common.py,Buffer,get,repr(class),_buffer;_seen_end,Buffer(),buffer,quic buffer; may not construct plainly,3,yes
bs24_docutils_OptionParser,behavioral_sweep_results.csv,docutils,0.22.4,docutils/frontend.py,OptionParser,get_config_file_settings,repr(class),config_files,OptionParser(components=()),unknown,config settings read; no order dependence expected,3,yes
bs25_docutils_Input,behavioral_sweep_results.csv,docutils,0.22.4,docutils/io.py,Input,decode,repr(class),source;encoding,Input() (needs source),unknown,base Input needs a source,3,yes
bs36_docutils_Inliner,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,Inliner,parse,repr(class),patterns,Inliner(),unknown,constructs but parse needs document context,3,yes
bs45_docutils_MathElement,behavioral_sweep_results.csv,docutils,0.22.4,docutils/utils/math/mathml_elements.py,MathElement,close,repr(class),children,MathElement(),unknown,mathml node; append/close bookkeeping,3,yes
bs46_docutils_MathSchema,behavioral_sweep_results.csv,docutils,0.22.4,docutils/utils/math/mathml_elements.py,MathSchema,append,repr(class),children,MathSchema(),unknown,mathml schema node bookkeeping,3,yes
bs47_docutils_Writer,behavioral_sweep_results.csv,docutils,0.22.4,docutils/writers/__init__.py,Writer,(excluded),write(),output,write() has output side effects,unknown,unsafe to execute (output side effect),3,yes
bs48_docutils_pep_html_Writer,behavioral_sweep_results.csv,docutils,0.22.4,docutils/writers/pep_html/__init__.py,Writer,interpolation_dict,repr(class),settings,Writer(),unknown,interpolation dict read; no order dependence expected,3,yes
ext05_mistune_Markdown,source_snapshot,mistune,3.2.1,mistune/markdown.py,Markdown,parse ref-def first,render '[a][]',block state,mistune.create_markdown(),string_text,reference-style link resolution across calls,2,yes
ext06_more_itertools_spy,source_snapshot,more-itertools,11.0.2,more_itertools/more.py,spy,spy head,list(iterable),cached head,spy(iter([...])),iterator,spy returns head without consuming,2,yes
ext07_dnspython_Tokenizer_concat,source_snapshot,dnspython,2.8.0,dns/tokenizer.py,Tokenizer,get() twice,concatenate_remaining_identifiers,cursor,Tokenizer(StringIO('a b c')),parser_tokenizer,consuming tokens changes remaining concatenation,2,yes
ext08_boltons_LRU_pair2,source_snapshot,boltons,25.0.0,boltons/cacheutils.py,LRU,get('a') between two reads,popitem-order after insert,recency,LRU(max_size=2) pair2,cache,access between reads changes eviction victim,2,yes
dir_docutils_Body,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,Body,(construction attempt),(construction attempt),state machine bookkeeping,"Body() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_BulletList,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,BulletList,(construction attempt),(construction attempt),state machine bookkeeping,"BulletList() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_Definition,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,Definition,(construction attempt),(construction attempt),state machine bookkeeping,"Definition() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_EnumeratedList,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,EnumeratedList,(construction attempt),(construction attempt),state machine bookkeeping,"EnumeratedList() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_Explicit,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,Explicit,(construction attempt),(construction attempt),state machine bookkeeping,"Explicit() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_FieldList,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,FieldList,(construction attempt),(construction attempt),state machine bookkeeping,"FieldList() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_Line,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,Line,(construction attempt),(construction attempt),state machine bookkeeping,"Line() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_LineBlock,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,LineBlock,(construction attempt),(construction attempt),state machine bookkeeping,"LineBlock() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_OptionList,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,OptionList,(construction attempt),(construction attempt),state machine bookkeeping,"OptionList() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_RFC2822Body,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,RFC2822Body,(construction attempt),(construction attempt),state machine bookkeeping,"RFC2822Body() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_RFC2822List,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,RFC2822List,(construction attempt),(construction attempt),state machine bookkeeping,"RFC2822List() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_Text,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/states.py,Text,(construction attempt),(construction attempt),state machine bookkeeping,"Text() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
dir_docutils_Include,behavioral_sweep_results.csv,docutils,0.22.4,docutils/parsers/rst/directives/misc.py,Include,(construction attempt),(construction attempt),state machine bookkeeping,"Include() requires (state_machine, debug) args",unknown,RST state class needs state machine -> could_not_construct,3,yes
