package,file,class,analyzer_label,manual_review_label,reason,reviewer_note
more-itertools,more_itertools-11.0.2\more_itertools\more.py,time_limited,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
more-itertools,more_itertools-11.0.2\more_itertools\more.py,countable,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
toolz,toolz-1.1.0\toolz\functoolz.py,curry,MEDIUM,likely false positive,P1_access_sensitive,signature cache used for currying decision; semantic decision is stable
multidict,multidict-6.7.1\multidict\_multidict_py.py,MultiDict,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
marshmallow,marshmallow-4.3.0\src\marshmallow\experimental\context.py,Context,MEDIUM,likely false positive,P1_access_sensitive,context-manager token assignment returns self; no access-derived value
marshmallow,marshmallow-4.3.0\src\marshmallow\fields.py,Nested,MEDIUM,likely false positive,P1_access_sensitive,lazy schema cache; repeated access returns the same schema
cerberus,cerberus-1.3.8\cerberus\validator.py,BareValidator,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tomlkit,tomlkit-0.15.0\tomlkit\items.py,Array,MEDIUM,likely false positive,P1_access_sensitive,fluent formatting mutator returns self; not an access/read path
tomlkit,tomlkit-0.15.0\tomlkit\source.py,_State,MEDIUM,likely false positive,P1_access_sensitive,context-manager state snapshot returns self; not access-derived
tomlkit,tomlkit-0.15.0\tomlkit\source.py,Source,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tomlkit,tomlkit-0.15.0\tomlkit\toml_file.py,TOMLFile,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
python-dotenv,python_dotenv-1.2.2\src\dotenv\main.py,DotEnv,MEDIUM,likely false positive,P1_access_sensitive,memoized parsed dotenv dictionary; repeated access is stable
loguru,loguru-0.7.3\loguru\_file_sink.py,RotationTime,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
structlog,structlog-25.5.0\src\structlog\_config.py,BoundLoggerLazyProxy,MEDIUM,likely false positive,P1_access_sensitive,lazy binding cache/proxy setup; not access-evolving output
structlog,structlog-25.5.0\src\structlog\processors.py,KeyValueRenderer,MEDIUM,likely false positive,P1_access_sensitive,constructor/local setup pattern; not an access/read path
tenacity,tenacity-9.1.4\tenacity\asyncio\__init__.py,AsyncRetrying,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pluggy,pluggy-1.6.0\src\pluggy\_manager.py,PluginManager,MEDIUM,likely false positive,P1_access_sensitive,monitor registration mutates manager and returns undo callback
packaging,packaging-26.2\src\packaging\_tokenizer.py,Tokenizer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
packaging,packaging-26.2\src\packaging\specifiers.py,Specifier,MEDIUM,likely false positive,P1_access_sensitive,one-element version cache; repeated access is semantically stable
packaging,packaging-26.2\src\packaging\specifiers.py,SpecifierSet,MEDIUM,likely false positive,P1_access_sensitive,canonicalization cache; repeated access is semantically stable
packaging,packaging-26.2\src\packaging\version.py,Version,MEDIUM,likely false positive,P1_access_sensitive,memoized comparison key; semantic value is stable
importlib-metadata,importlib_metadata-9.0.0\importlib_metadata\__init__.py,FastPath,MEDIUM,likely false positive,P1_access_sensitive,deferred helper binding/cache; returned children are not access-evolving
importlib-metadata,importlib_metadata-9.0.0\importlib_metadata\_context.py,ExceptionTrap,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jsonschema,jsonschema-4.26.0\jsonschema\validators.py,Validator,MEDIUM,likely false positive,P1_access_sensitive,deprecated lazy resolver cache; repeated access is stable
tqdm,tqdm-4.67.3\tqdm\contrib\discord.py,DiscordIO,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tqdm,tqdm-4.67.3\tqdm\contrib\slack.py,SlackIO,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tqdm,tqdm-4.67.3\tqdm\contrib\telegram.py,TelegramIO,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tqdm,tqdm-4.67.3\tqdm\std.py,EMA,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tqdm,tqdm-4.67.3\tqdm\std.py,tqdm,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
tqdm,tqdm-4.67.3\tqdm\utils.py,FormatReplace,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_backends\_asyncio.py,Runner,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_backends\_asyncio.py,CancelScope,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_backends\_asyncio.py,StreamProtocol,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_backends\_asyncio.py,_RawSocketMixin,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_backends\_trio.py,_SignalReceiver,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_core\_contextmanagers.py,ContextManagerMixin,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\_core\_synchronization.py,EventAdapter,MEDIUM,likely false positive,P1_access_sensitive,lazy backend primitive allocation; repeated access returns same event
anyio,anyio-4.13.0\src\anyio\_core\_synchronization.py,LockAdapter,MEDIUM,likely false positive,P1_access_sensitive,lazy backend primitive allocation; repeated access returns same lock
anyio,anyio-4.13.0\src\anyio\_core\_synchronization.py,SemaphoreAdapter,MEDIUM,likely false positive,P1_access_sensitive,lazy backend primitive allocation; repeated access returns same semaphore
anyio,anyio-4.13.0\src\anyio\_core\_synchronization.py,CapacityLimiterAdapter,MEDIUM,likely false positive,P1_access_sensitive,lazy backend primitive allocation; repeated access returns same limiter
anyio,anyio-4.13.0\src\anyio\from_thread.py,_BlockingAsyncContextManager,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
anyio,anyio-4.13.0\src\anyio\from_thread.py,BlockingPortalProvider,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pyparsing,pyparsing-3.3.2\pyparsing\actions.py,OnlyOnce,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pyparsing,pyparsing-3.3.2\pyparsing\core.py,ParserElement,MEDIUM,likely false positive,P1_access_sensitive,debug/configuration mutator returning self; not an access/read path
pyparsing,pyparsing-3.3.2\pyparsing\core.py,Regex,MEDIUM,likely false positive,P1_access_sensitive,compiled-regex cache; repeated access is semantically stable
pyparsing,pyparsing-3.3.2\pyparsing\core.py,ParseExpression,MEDIUM,likely false positive,P1_access_sensitive,grammar-builder append mutator returning self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,And,MEDIUM,likely false positive,P1_access_sensitive,grammar streamlining mutates parser object and returns self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,Or,MEDIUM,likely false positive,P1_access_sensitive,grammar streamlining mutates parser object and returns self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,MatchFirst,MEDIUM,likely false positive,P1_access_sensitive,grammar streamlining mutates parser object and returns self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,Each,MEDIUM,likely false positive,P1_access_sensitive,grammar streamlining mutates parser object and returns self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,ParseElementEnhance,MEDIUM,likely false positive,P1_access_sensitive,whitespace configuration mutator returning self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,_MultipleMatch,MEDIUM,likely false positive,P1_access_sensitive,grammar stop condition mutator returning self
pyparsing,pyparsing-3.3.2\pyparsing\core.py,Forward,MEDIUM,likely false positive,P1_access_sensitive,grammar assignment mutator returning self
pyparsing,pyparsing-3.3.2\pyparsing\results.py,ParseResults,MEDIUM,likely false positive,P1_access_sensitive,"constructor initialization path, not access-evolving semantics"
pyparsing,pyparsing-3.3.2\pyparsing\util.py,_UnboundedCache,MEDIUM,likely false positive,P1_access_sensitive,"constructor/local closure setup, not an access/read path"
pyparsing,pyparsing-3.3.2\pyparsing\util.py,_FifoCache,MEDIUM,likely false positive,P1_access_sensitive,"constructor/local closure setup, not an access/read path"
pyparsing,pyparsing-3.3.2\pyparsing\util.py,_GroupConsecutive,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
requests,requests-2.34.2\src\requests\models.py,Response,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\connection.py,HTTPConnection,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\connection.py,HTTPSConnection,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\connectionpool.py,HTTPConnectionPool,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\connectionpool.py,HTTPSConnectionPool,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\contrib\emscripten\fetch.py,_ReadStream,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\contrib\emscripten\fetch.py,_JSPIReadStream,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\contrib\emscripten\response.py,EmscriptenHttpResponseWrapper,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\response.py,DeflateDecoder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\response.py,GzipDecoder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\response.py,ZstdDecoder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\response.py,BytesQueueBuffer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\response.py,BaseHTTPResponse,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
urllib3,urllib3-2.7.0\src\urllib3\response.py,HTTPResponse,MEDIUM,likely false positive,P1_access_sensitive,connection release mutates state but returns no access-derived value
urllib3,urllib3-2.7.0\src\urllib3\util\timeout.py,Timeout,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\compiler.py,CodeGenerator,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\environment.py,Template,MEDIUM,likely false positive,P1_access_sensitive,lazy module cache; repeated access is normally stable
jinja2,jinja2-3.1.6\src\jinja2\ext.py,_CommentFinder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\idtracking.py,FrameSymbolVisitor,MEDIUM,likely false positive,P1_access_sensitive,visitor bookkeeping mutates state and returns None
jinja2,jinja2-3.1.6\src\jinja2\lexer.py,TokenStream,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\lexer.py,Lexer,MEDIUM,likely false positive,P1_access_sensitive,constructor/local setup pattern; not an access/read path
jinja2,jinja2-3.1.6\src\jinja2\parser.py,Parser,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\runtime.py,LoopContext,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\utils.py,Cycler,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
jinja2,jinja2-3.1.6\src\jinja2\utils.py,Joiner,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
flask,flask-3.1.3\src\flask\app.py,Flask,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
flask,flask-3.1.3\src\flask\cli.py,ScriptInfo,MEDIUM,likely false positive,P1_access_sensitive,lazy app cache; repeated load returns the same application object
werkzeug,werkzeug-3.1.8\src\werkzeug\datastructures\mixins.py,ImmutableListMixin,MEDIUM,likely false positive,P1_access_sensitive,memoized hash cache; semantic hash value is stable
werkzeug,werkzeug-3.1.8\src\werkzeug\datastructures\mixins.py,ImmutableDictMixin,MEDIUM,likely false positive,P1_access_sensitive,memoized hash cache; semantic hash value is stable
werkzeug,werkzeug-3.1.8\src\werkzeug\debug\console.py,_InteractiveConsole,MEDIUM,likely false positive,P1_access_sensitive,constructor/local setup pattern; not an access/read path
werkzeug,werkzeug-3.1.8\src\werkzeug\local.py,_ProxyLookup,MEDIUM,likely false positive,P1_access_sensitive,descriptor/proxy setup pattern; not an access/read path
werkzeug,werkzeug-3.1.8\src\werkzeug\local.py,_ProxyIOp,MEDIUM,likely false positive,P1_access_sensitive,descriptor/proxy setup pattern; not an access/read path
werkzeug,werkzeug-3.1.8\src\werkzeug\middleware\http_proxy.py,ProxyMiddleware,MEDIUM,likely false positive,P1_access_sensitive,constructor/local setup pattern; not an access/read path
werkzeug,werkzeug-3.1.8\src\werkzeug\sansio\multipart.py,MultipartDecoder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
werkzeug,werkzeug-3.1.8\src\werkzeug\sansio\multipart.py,MultipartEncoder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
werkzeug,werkzeug-3.1.8\src\werkzeug\sansio\response.py,Response,MEDIUM,likely false positive,P1_access_sensitive,lazy header object cache; repeated access is semantically stable
werkzeug,werkzeug-3.1.8\src\werkzeug\serving.py,DechunkedInput,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
werkzeug,werkzeug-3.1.8\src\werkzeug\serving.py,WSGIRequestHandler,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
werkzeug,werkzeug-3.1.8\src\werkzeug\wrappers\request.py,Request,MEDIUM,likely false positive,P1_access_sensitive,request body cache; repeated access returns stable cached data
werkzeug,werkzeug-3.1.8\src\werkzeug\wrappers\response.py,Response,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
werkzeug,werkzeug-3.1.8\src\werkzeug\wsgi.py,_RangeWrapper,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
werkzeug,werkzeug-3.1.8\src\werkzeug\wsgi.py,LimitedStream,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
filelock,filelock-3.29.0\src\filelock\_read_write.py,ReadWriteLock,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
filelock,filelock-3.29.0\src\filelock\_soft_rw\_sync.py,SoftReadWriteLock,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pathspec,pathspec-1.1.1\pathspec\_backends\hyperscan\gitignore.py,HyperscanGiBackend,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pathspec,pathspec-1.1.1\pathspec\_backends\hyperscan\pathspec.py,HyperscanPsBackend,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pathspec,pathspec-1.1.1\pathspec\pathspec.py,PathSpec,MEDIUM,likely false positive,P1_access_sensitive,in-place pattern-list update returning self; not an access/read path
dacite,dacite-1.9.2\dacite\frozen_dict.py,FrozenDict,MEDIUM,likely false positive,P1_access_sensitive,memoized hash cache; semantic hash value is stable
wrapt,wrapt-2.2.0\src\wrapt\caching.py,_LRUCacheFunctionWrapper,MEDIUM,likely false positive,P1_access_sensitive,LRU memoization wrapper; cache fill does not indicate access-evolving object semantics
wrapt,wrapt-2.2.0\src\wrapt\decorators.py,_StateBindingWrapper,MEDIUM,likely false positive,P1_access_sensitive,decorator binding wrapper setup; not an access/read path
wrapt,wrapt-2.2.0\src\wrapt\proxies.py,LazyObjectProxy,MEDIUM,likely false positive,P1_access_sensitive,lazy proxy target cache; repeated access returns stable wrapped object
wrapt,wrapt-2.2.0\src\wrapt\synchronization.py,_SynchronizedFunctionWrapper,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
wrapt,wrapt-2.2.0\src\wrapt\wrappers.py,ObjectProxy,MEDIUM,likely false positive,P1_access_sensitive,in-place operator forwarding returning self; not an access/read path
wrapt,wrapt-2.2.0\src\wrapt\wrappers.py,PartialCallableObjectProxy,MEDIUM,likely false positive,P1_access_sensitive,constructor/local setup pattern; not an access/read path
dateparser,dateparser-1.4.0\dateparser\date.py,_DateLocaleParser,MEDIUM,likely false positive,P1_access_sensitive,lazy translated-date cache; repeated access is semantically stable
dateparser,dateparser-1.4.0\dateparser\parser.py,_parser,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
parsedatetime,parsedatetime-2.6\parsedatetime\__init__.py,Constants,MEDIUM,likely false positive,P1_access_sensitive,constructor/local setup pattern; not an access/read path
Babel,babel-2.18.0\babel\core.py,Locale,MEDIUM,likely false positive,P1_access_sensitive,lazy locale-data cache; repeated access is semantically stable
Babel,babel-2.18.0\babel\messages\catalog.py,Catalog,MEDIUM,likely false positive,P1_access_sensitive,lazy plural-count cache; repeated access is semantically stable
Babel,babel-2.18.0\babel\messages\frontend.py,CommandLineInterface,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
Babel,babel-2.18.0\babel\plural.py,PluralRule,MEDIUM,likely false positive,P1_access_sensitive,lazy compiled-rule cache; repeated access returns stable semantics
soupsieve,soupsieve-2.8.3\soupsieve\css_match.py,CSSMatch,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
soupsieve,soupsieve-2.8.3\soupsieve\css_parser.py,SpecialPseudoPattern,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
beautifulsoup4,beautifulsoup4-4.14.3\bs4\__init__.py,BeautifulSoup,MEDIUM,likely false positive,P1_access_sensitive,constructor/tree-builder setup pattern; not an access/read path
beautifulsoup4,beautifulsoup4-4.14.3\bs4\builder\_html5lib.py,HTML5TreeBuilder,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
beautifulsoup4,beautifulsoup4-4.14.3\bs4\element.py,PageElement,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\formatters\groff.py,GroffFormatter,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\formatters\latex.py,LatexFormatter,MEDIUM,likely false positive,P1_access_sensitive,stylesheet construction cache; repeated access is semantically stable
pygments,pygments-2.20.0\pygments\formatters\terminal256.py,EscapeSequence,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\mime.py,MIMELexer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\modula2.py,Modula2Lexer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\robotframework.py,Tokenizer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\robotframework.py,Setting,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\robotframework.py,KeywordCall,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\robotframework.py,ForLoop,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\robotframework.py,SettingTable,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\robotframework.py,TestCaseTable,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\sql.py,PostgresBase,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\sql.py,lookahead,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\textfmts.py,HttpLexer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\lexers\tnt.py,TNTLexer,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
pygments,pygments-2.20.0\pygments\scanner.py,Scanner,MEDIUM,likely true positive,P1_access_sensitive,source review found state mutation on a method/property/call path that returns a value or access handle
